id	titre	société	portail	tjm	remote	durée	score	statut	date_eval	date_maj	action	source	url
001	DevOps/SRE Sénior	Cherrypick	collective	650	Hybride (Châtillon 92)	2-4 semaines	D	évalué-D	2026-06-26	2026-06-26	Passer — rôle hors profil	issu email Gmail	https://www.collective.work/jobs/fr/devops-sre-senior-ytyg
002	Chef de Projet IT Terrain - Référent Technique Régional	Umpacte	hellowork	400-500	Sur site (Lyon 69)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — TJM deal breaker + rôle hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80643670.html
003	Tech Lead Servicenow	CELAD	hellowork	500-555	? (Paris 75)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — TJM deal breaker + stack ServiceNow hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/79413584.html
004	Chef de Projet IT Terrain - Référent Technique Régional Toulon	Umpacte	hellowork	400-500	Sur site (Toulon 83)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — TJM deal breaker + rôle hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80643588.html
005	Chef de Projet IT - Responsable Applications & Gouvernance SIRH	collectivite	hellowork	?	? (Guyancourt 78)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — rôle SIRH hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80624326.html
006	Chef de Projet IT	collectivite	hellowork	?	? (Lyon 69)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — rôle générique hors profil + géo incompatible	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80643883.html
007	Développeur Back Kotlin Spring	Teolia	collective.work	?	? (Lille)	?	F	évalué-F	2026-06-26	2026-06-26	Passer — stack Kotlin hors profil	issu email Gmail
008	Business Analyst Digital Channels Chatbot	O2Do	collective.work	?	?	?	F	évalué-F	2026-06-26	2026-06-26	Passer — rôle BA fonctionnel hors profil	issu email Gmail
009	Développeur Full Stack REACT/C# (orienté front React)	?	free-work	450-600	Full remote (France/Belgique)	36 mois	D	évalué-D	2026-06-29	2026-06-29	Passer — TJM sous seuil + rôle front hors profil	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/developpeur-fullstack-react-c-oriente-front-react-3
010	Développeur C# .Net Core (TDD-BDD)	?	free-work	500-600	Full remote (France/Belgique)	36 mois	C	évalué-C	2026-06-29	2026-06-29	Postuler si pipeline vide — TJM à négocier 600+ min	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-c-net-core-tdd-bdd-3
